"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"6772","up",TRUE,1.31117579069856e-05,64,1291,19,0.0147172734314485,0.296875,"GO:1902893","GO:BP","regulation of miRNA transcription",16178,23158,"GO:0061614, GO:0140747, GO:2000628"
"6773","up",TRUE,1.55959492874749e-05,439,1291,66,0.0511231603408211,0.150341685649203,"GO:0002831","GO:BP","regulation of response to biotic stimulus",16178,1348,"GO:0009607, GO:0048583"
"6774","up",TRUE,1.57739982128577e-05,273,1291,47,0.0364058869093726,0.172161172161172,"GO:1903311","GO:BP","regulation of mRNA metabolic process",16178,23484,"GO:0016071, GO:0051252"
"6775","up",TRUE,1.68523252518933e-05,65,1291,19,0.0147172734314485,0.292307692307692,"GO:0061614","GO:BP","miRNA transcription",16178,16075,"GO:0010586, GO:0098781"
"13383","up",TRUE,1.7567845702427e-05,39,820,15,0.0182926829268293,0.384615384615385,"REAC:R-HSA-9031628","REAC","NGF-stimulated transcription",10842,1479,"REAC:R-HSA-198725"
"6777","up",TRUE,1.94680099983324e-05,292,1291,49,0.0379550735863672,0.167808219178082,"GO:0030098","GO:BP","lymphocyte differentiation",16178,6913,"GO:0046649, GO:1903131"
"6779","up",TRUE,2.30724254473687e-05,227,1291,41,0.0317583268783888,0.180616740088106,"GO:0006402","GO:BP","mRNA catabolic process",16178,2187,"GO:0006401, GO:0010629, GO:0016071"
"6780","up",TRUE,2.35128250695916e-05,277,1291,47,0.0364058869093726,0.169675090252708,"GO:0006401","GO:BP","RNA catabolic process",16178,2186,"GO:0009057, GO:0016070, GO:0034655"
"6781","up",TRUE,2.4428641581849e-05,244,1291,43,0.0333075135553834,0.176229508196721,"GO:0071496","GO:BP","cellular response to external stimulus",16178,17230,"GO:0009605"
"6784","up",TRUE,2.45945940372495e-05,106,1291,25,0.0193648334624322,0.235849056603774,"GO:0070646","GO:BP","protein modification by small protein removal",16178,16726,"GO:0070647"
"6785","up",TRUE,2.67730033446279e-05,401,1291,61,0.0472501936483346,0.15211970074813,"GO:0043068","GO:BP","positive regulation of programmed cell death",16178,10864,"GO:0012501, GO:0043067, GO:0048522"
"14846","up",TRUE,2.95546794926194e-05,70,644,20,0.031055900621118,0.285714285714286,"WP:WP2880","WP","Glucocorticoid receptor pathway",8286,181,"WP:000000"
"6789","up",TRUE,3.36291029034112e-05,68,1291,19,0.0147172734314485,0.279411764705882,"GO:0032922","GO:BP","circadian regulation of gene expression",16178,8193,"GO:0007623, GO:0010468"
"6790","up",TRUE,3.46300994886062e-05,56,1291,17,0.0131680867544539,0.303571428571429,"GO:2000630","GO:BP","positive regulation of miRNA metabolic process",16178,26596,"GO:0010586, GO:0051254, GO:2000628"
"6792","up",TRUE,4.59425187728493e-05,124,1291,27,0.0209140201394268,0.217741935483871,"GO:0090101","GO:BP","negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway",16178,18545,"GO:0007178, GO:0009968, GO:0090092"
"6794","up",TRUE,4.62213287717841e-05,201,1291,37,0.0286599535243997,0.18407960199005,"GO:0030217","GO:BP","T cell differentiation",16178,6962,"GO:0030098, GO:0042110"
"6796","up",TRUE,4.79316209151465e-05,110,1291,25,0.0193648334624322,0.227272727272727,"GO:0032606","GO:BP","type I interferon production",16178,7930,"GO:0001816"
"6797","up",TRUE,4.79316209151465e-05,110,1291,25,0.0193648334624322,0.227272727272727,"GO:0032479","GO:BP","regulation of type I interferon production",16178,7862,"GO:0001817, GO:0032606"
"6801","up",TRUE,5.47371700659925e-05,90,1291,22,0.0170410534469404,0.244444444444444,"GO:0016579","GO:BP","protein deubiquitination",16178,5318,"GO:0070646"
"13386","up",TRUE,6.02408814225865e-05,153,820,31,0.0378048780487805,0.202614379084967,"REAC:R-HSA-73887","REAC","Death Receptor Signaling",10842,441,"REAC:R-HSA-162582"
"6802","up",TRUE,6.22007278197348e-05,245,1291,42,0.0325329202168861,0.171428571428571,"GO:0000209","GO:BP","protein polyubiquitination",16178,60,"GO:0016567"
"6803","up",TRUE,6.3961818834677e-05,496,1291,70,0.0542215336948102,0.141129032258065,"GO:0008285","GO:BP","negative regulation of cell population proliferation",16178,3187,"GO:0008283, GO:0042127, GO:0048523"
"14847","up",TRUE,7.58751624686857e-05,56,644,17,0.0263975155279503,0.303571428571429,"WP:WP2374","WP","Oncostatin M signaling pathway",8286,108,"WP:000000"
"6806","up",TRUE,7.97052034542565e-05,352,1291,54,0.0418280402788536,0.153409090909091,"GO:0051090","GO:BP","regulation of DNA-binding transcription factor activity",16178,13924,"GO:0006355, GO:0065009"
"13387","up",TRUE,8.07686615727035e-05,103,820,24,0.0292682926829268,0.233009708737864,"REAC:R-HSA-168164","REAC","Toll Like Receptor 3 (TLR3) Cascade",10842,2441,"REAC:R-HSA-168898"
"13388","up",TRUE,9.06858753699635e-05,35,820,13,0.0158536585365854,0.371428571428571,"REAC:R-HSA-936440","REAC","Negative regulators of DDX58/IFIH1 signaling",10842,1533,"REAC:R-HSA-168928"
"13389","up",TRUE,9.06858753699635e-05,46,820,15,0.0182926829268293,0.326086956521739,"REAC:R-HSA-5357905","REAC","Regulation of TNFR1 signaling",10842,1949,"REAC:R-HSA-75893"
"13390","up",TRUE,9.06858753699635e-05,25,820,11,0.0134146341463415,0.44,"REAC:R-HSA-5357786","REAC","TNFR1-induced proapoptotic signaling",10842,2372,"REAC:R-HSA-75893"
"13391","up",TRUE,0.000100475184456803,272,820,44,0.0536585365853659,0.161764705882353,"REAC:R-HSA-4839726","REAC","Chromatin organization",10842,348,"REAC:0000000"
"13392","up",TRUE,0.000100475184456803,107,820,24,0.0292682926829268,0.224299065420561,"REAC:R-HSA-166166","REAC","MyD88-independent TLR4 cascade ",10842,1453,"REAC:R-HSA-166016"
"13393","up",TRUE,0.000100475184456803,107,820,24,0.0292682926829268,0.224299065420561,"REAC:R-HSA-937061","REAC","TRIF(TICAM1)-mediated TLR4 signaling ",10842,2395,"REAC:R-HSA-166166"
"13394","up",TRUE,0.000100475184456803,272,820,44,0.0536585365853659,0.161764705882353,"REAC:R-HSA-3247509","REAC","Chromatin modifying enzymes",10842,347,"REAC:R-HSA-4839726"
"6809","up",TRUE,0.000104832430010643,32,1291,12,0.00929512006196747,0.375,"GO:0045599","GO:BP","negative regulation of fat cell differentiation",16178,11846,"GO:0045444, GO:0045596, GO:0045598"
"6813","up",TRUE,0.000117611297009766,330,1291,51,0.0395042602633617,0.154545454545455,"GO:0002833","GO:BP","positive regulation of response to biotic stimulus",16178,1350,"GO:0002831, GO:0009607, GO:0048584"
"6817","up",TRUE,0.000140257399841139,203,1291,36,0.0278853601859024,0.177339901477833,"GO:0002237","GO:BP","response to molecule of bacterial origin",16178,777,"GO:0009617, GO:0010033, GO:0043207"
"6820","up",TRUE,0.000143900957355128,187,1291,34,0.0263361735089078,0.181818181818182,"GO:0032496","GO:BP","response to lipopolysaccharide",16178,7879,"GO:0002237, GO:0033993, GO:1901700"
"13395","up",TRUE,0.000153559747425205,55,820,16,0.0195121951219512,0.290909090909091,"REAC:R-HSA-75893","REAC","TNF signaling",10842,2370,"REAC:R-HSA-73887"
"6823","up",TRUE,0.000186878441451659,90,1291,21,0.0162664601084431,0.233333333333333,"GO:1901796","GO:BP","regulation of signal transduction by p53 class mediator",16178,22274,"GO:0072331, GO:1902531"
"6824","up",TRUE,0.000187984419415692,248,1291,41,0.0317583268783888,0.165322580645161,"GO:0043122","GO:BP","regulation of canonical NF-kappaB signal transduction",16178,10893,"GO:0007249, GO:1902531"
"13396","up",TRUE,0.000201638896129992,143,820,28,0.0341463414634146,0.195804195804196,"REAC:R-HSA-166016","REAC","Toll Like Receptor 4 (TLR4) Cascade",10842,2442,"REAC:R-HSA-168898"
"6826","up",TRUE,0.000203579117065171,127,1291,26,0.0201394268009295,0.204724409448819,"GO:0045580","GO:BP","regulation of T cell differentiation",16178,11827,"GO:0030217, GO:0045619, GO:0050863"
"6827","up",TRUE,0.000204084144661628,476,1291,66,0.0511231603408211,0.138655462184874,"GO:0001568","GO:BP","blood vessel development",16178,358,"GO:0001944, GO:0048856"
"6828","up",TRUE,0.000204765450077016,174,1291,32,0.0247869868319132,0.183908045977011,"GO:0061013","GO:BP","regulation of mRNA catabolic process",16178,15615,"GO:0006402, GO:0010468, GO:0031329, GO:1903311"
"14848","up",TRUE,0.00021105143291502,87,644,21,0.0326086956521739,0.241379310344828,"WP:WP254","WP","Apoptosis",8286,132,"WP:000000"
"6830","up",TRUE,0.000216370859252494,120,1291,25,0.0193648334624322,0.208333333333333,"GO:0000956","GO:BP","nuclear-transcribed mRNA catabolic process",16178,266,"GO:0006402"
"6833","up",TRUE,0.000223846712514891,233,1291,39,0.0302091402013943,0.167381974248927,"GO:0002758","GO:BP","innate immune response-activating signaling pathway",16178,1276,"GO:0002218, GO:0002757"
"14849","up",TRUE,0.000234571151813833,89,644,21,0.0326086956521739,0.235955056179775,"WP:WP231","WP","TNF alpha signaling pathway",8286,94,"WP:000000"
"14850","up",TRUE,0.000234571151813833,38,644,13,0.0201863354037267,0.342105263157895,"WP:WP2036","WP","TNF related weak inducer of apoptosis TWEAK signaling pathway",8286,69,"WP:000000"
"6834","up",TRUE,0.000244650293542896,217,1291,37,0.0286599535243997,0.170506912442396,"GO:0002221","GO:BP","pattern recognition receptor signaling pathway",16178,762,"GO:0002758"
"6836","up",TRUE,0.000252512615750129,152,1291,29,0.0224632068164214,0.190789473684211,"GO:0071219","GO:BP","cellular response to molecule of bacterial origin",16178,16979,"GO:0002237, GO:0071216"
"6837","up",TRUE,0.000277483861143957,20,1291,9,0.0069713400464756,0.45,"GO:0034405","GO:BP","response to fluid shear stress",16178,8912,"GO:0006950"
"13397","up",TRUE,0.000289378335493152,417,820,58,0.0707317073170732,0.139088729016787,"REAC:R-HSA-5663202","REAC","Diseases of signal transduction by growth factor receptors and second messengers",10842,746,"REAC:R-HSA-1643685"
"6838","up",TRUE,0.000291368294843795,253,1291,41,0.0317583268783888,0.162055335968379,"GO:0002218","GO:BP","activation of innate immune response",16178,760,"GO:0002253, GO:0045089"
"6839","up",TRUE,0.000317272527743463,47,1291,14,0.010844306738962,0.297872340425532,"GO:1902895","GO:BP","positive regulation of miRNA transcription",16178,23160,"GO:0045893, GO:0061614, GO:1902893, GO:2000630"
"6840","up",TRUE,0.000318982101376728,334,1291,50,0.0387296669248644,0.149700598802395,"GO:0009615","GO:BP","response to virus",16178,3578,"GO:0051707"
"6841","up",TRUE,0.000321926547791837,436,1291,61,0.0472501936483346,0.139908256880734,"GO:0010608","GO:BP","post-transcriptional regulation of gene expression",16178,4305,"GO:0010468"
"6842","up",TRUE,0.000329539296879314,16,1291,8,0.00619674670797831,0.5,"GO:1900034","GO:BP","regulation of cellular response to heat",16178,20833,"GO:0034605, GO:0080135"
"6843","up",TRUE,0.000346566726646329,255,1291,41,0.0317583268783888,0.16078431372549,"GO:0022409","GO:BP","positive regulation of cell-cell adhesion",16178,6837,"GO:0022407, GO:0045785, GO:0098609"
"13398","up",TRUE,0.000393156975857771,165,820,30,0.0365853658536585,0.181818181818182,"REAC:R-HSA-168898","REAC","Toll-like Receptor Cascades",10842,2448,"REAC:R-HSA-168249"
"6844","up",TRUE,0.000398636411347559,102,1291,22,0.0170410534469404,0.215686274509804,"GO:0061014","GO:BP","positive regulation of mRNA catabolic process",16178,15616,"GO:0006402, GO:0031331, GO:0061013, GO:1903313"
"6845","up",TRUE,0.000399673459417537,383,1291,55,0.0426026336173509,0.143603133159269,"GO:0022407","GO:BP","regulation of cell-cell adhesion",16178,6835,"GO:0030155, GO:0098609"
"14851","up",TRUE,0.000413744634648726,65,644,17,0.0263975155279503,0.261538461538462,"WP:WP3651","WP","Pathways affected in adenoid cystic carcinoma",8286,247,"WP:000000"
"6847","up",TRUE,0.000434616106990698,329,1291,49,0.0379550735863672,0.148936170212766,"GO:1903131","GO:BP","mononuclear cell differentiation",16178,23363,"GO:0002521"
"6849","up",TRUE,0.000503463293681311,405,1291,57,0.0441518202943455,0.140740740740741,"GO:0001819","GO:BP","positive regulation of cytokine production",16178,481,"GO:0001816, GO:0001817, GO:0010628, GO:0051240"
"6850","up",TRUE,0.000508307236550623,443,1291,61,0.0472501936483346,0.137697516930023,"GO:0048514","GO:BP","blood vessel morphogenesis",16178,13224,"GO:0001568, GO:0035239"
"6851","up",TRUE,0.000510470957442858,142,1291,27,0.0209140201394268,0.190140845070423,"GO:0071222","GO:BP","cellular response to lipopolysaccharide",16178,16982,"GO:0032496, GO:0071219, GO:0071396, GO:1901701"
"6852","up",TRUE,0.000510470957442858,150,1291,28,0.0216886134779241,0.186666666666667,"GO:0045619","GO:BP","regulation of lymphocyte differentiation",16178,11866,"GO:0030098, GO:0051249, GO:1902105"
"6853","up",TRUE,0.000510470957442858,158,1291,29,0.0224632068164214,0.183544303797468,"GO:0043488","GO:BP","regulation of mRNA stability",16178,11088,"GO:0043487, GO:0061013"
"13399","up",TRUE,0.000525881985077991,16,820,8,0.00975609756097561,0.5,"REAC:R-HSA-9614657","REAC","FOXO-mediated transcription of cell death genes",10842,894,"REAC:R-HSA-9614085"
"13400","up",TRUE,0.000525881985077991,61,820,16,0.0195121951219512,0.262295081967213,"REAC:R-HSA-198725","REAC","Nuclear Events (kinase and transcription factor activation)",10842,1566,"REAC:R-HSA-187037"
"6854","up",TRUE,0.000575421621478076,143,1291,27,0.0209140201394268,0.188811188811189,"GO:0071383","GO:BP","cellular response to steroid hormone stimulus",16178,17135,"GO:0032870, GO:0048545, GO:0071396, GO:0071407"
"14852","up",TRUE,0.000575793635794314,16,644,8,0.0124223602484472,0.5,"WP:WP2435","WP","Quercetin and Nf kB AP 1 induced apoptosis",8286,114,"WP:000000"
"6855","up",TRUE,0.000583083288434252,90,1291,20,0.0154918667699458,0.222222222222222,"GO:0035967","GO:BP","cellular response to topologically incorrect protein",16178,9692,"GO:0033554, GO:0035966, GO:0071310"
"14853","up",TRUE,0.000642849701421865,159,644,29,0.0450310559006211,0.182389937106918,"WP:WP5381","WP","Smith Magenis and Potocki Lupski syndrome copy number variation",8286,783,"WP:000000"
"6856","up",TRUE,0.000650124258486106,144,1291,27,0.0209140201394268,0.1875,"GO:2000058","GO:BP","regulation of ubiquitin-dependent protein catabolic process",16178,26083,"GO:0006511, GO:0009894, GO:1903050"
"14854","up",TRUE,0.000738550646665185,32,644,11,0.0170807453416149,0.34375,"WP:WP3414","WP","Initiation of transcription and translation elongation at the HIV 1 LTR",8286,215,"WP:000000"
"14855","up",TRUE,0.000738550646665185,130,644,25,0.0388198757763975,0.192307692307692,"WP:WP236","WP","Adipogenesis",8286,102,"WP:000000"
"14856","up",TRUE,0.000738550646665185,146,644,27,0.0419254658385093,0.184931506849315,"WP:WP2857","WP","Mesodermal commitment pathway",8286,166,"WP:000000"
"14857","up",TRUE,0.000738550646665185,32,644,11,0.0170807453416149,0.34375,"WP:WP4149","WP","White fat cell differentiation",8286,344,"WP:000000"
"6858","up",TRUE,0.000746538883503752,411,1291,57,0.0441518202943455,0.138686131386861,"GO:0031349","GO:BP","positive regulation of defense response",16178,7397,"GO:0006952, GO:0031347, GO:0048584"
"6859","up",TRUE,0.000755413400527242,309,1291,46,0.0356312935708753,0.148867313915858,"GO:0045089","GO:BP","positive regulation of innate immune response",16178,11661,"GO:0002833, GO:0031349, GO:0032103, GO:0045087, GO:0045088, GO:0050778"
"6861","up",TRUE,0.000786925384674554,122,1291,24,0.0185902401239349,0.19672131147541,"GO:0046631","GO:BP","alpha-beta T cell activation",16178,12674,"GO:0042110"
"6863","up",TRUE,0.000804961515825185,51,1291,14,0.010844306738962,0.274509803921569,"GO:0045600","GO:BP","positive regulation of fat cell differentiation",16178,11847,"GO:0045444, GO:0045597, GO:0045598"
"6864","up",TRUE,0.000811772956126731,138,1291,26,0.0201394268009295,0.188405797101449,"GO:0062207","GO:BP","regulation of pattern recognition receptor signaling pathway",16178,16357,"GO:0002221, GO:0009966, GO:0045088"
"6865","up",TRUE,0.000835866612662228,413,1291,57,0.0441518202943455,0.138014527845036,"GO:0061061","GO:BP","muscle structure development",16178,15656,"GO:0048856"
"13401","up",TRUE,0.000848392783692698,308,820,45,0.0548780487804878,0.146103896103896,"REAC:R-HSA-983168","REAC","Antigen processing: Ubiquitination & Proteasome degradation",10842,149,"REAC:R-HSA-983169"
"6868","up",TRUE,0.000957131663466657,172,1291,30,0.0232378001549187,0.174418604651163,"GO:0071216","GO:BP","cellular response to biotic stimulus",16178,16976,"GO:0009607, GO:0051716"
"6869","up",TRUE,0.000998270569380882,52,1291,14,0.010844306738962,0.269230769230769,"GO:0019083","GO:BP","viral transcription",16178,5756,"GO:0016032, GO:0019080"
"6870","up",TRUE,0.00102011960905413,148,1291,27,0.0209140201394268,0.182432432432432,"GO:0072331","GO:BP","signal transduction by p53 class mediator",16178,17868,"GO:0035556"
"6871","up",TRUE,0.00102590118152905,198,1291,33,0.0255615801704105,0.166666666666667,"GO:0031668","GO:BP","cellular response to extracellular stimulus",16178,7534,"GO:0007154, GO:0009991, GO:0051716, GO:0071496"
"13402","up",TRUE,0.00114101464372904,39,820,12,0.0146341463414634,0.307692307692308,"REAC:R-HSA-5689896","REAC","Ovarian tumor domain proteases",10842,1603,"REAC:R-HSA-5688426"
"6872","up",TRUE,0.00116279434277997,66,1291,16,0.0123934934159566,0.242424242424242,"GO:0032481","GO:BP","positive regulation of type I interferon production",16178,7864,"GO:0001819, GO:0032479, GO:0032606"
"6873","up",TRUE,0.00123927573111492,53,1291,14,0.010844306738962,0.264150943396226,"GO:0034661","GO:BP","ncRNA catabolic process",16178,9014,"GO:0006401, GO:0034660"
"6874","up",TRUE,0.00126149035128342,372,1291,52,0.040278853601859,0.139784946236559,"GO:0045088","GO:BP","regulation of innate immune response",16178,11660,"GO:0002831, GO:0031347, GO:0032101, GO:0045087, GO:0050776"
"14858","up",TRUE,0.00129952471632399,53,644,14,0.0217391304347826,0.264150943396226,"WP:WP2864","WP","Apoptosis related network due to altered Notch3 in ovarian cancer",8286,169,"WP:000000"
"14859","up",TRUE,0.00129952471632399,313,644,45,0.0698757763975155,0.143769968051118,"WP:WP2882","WP","Nuclear receptors meta pathway",8286,183,"WP:000000"
"14860","up",TRUE,0.00129952471632399,60,644,15,0.0232919254658385,0.25,"WP:WP3865","WP","Novel intracellular components of RIG I like receptor pathway",8286,276,"WP:000000"
"6875","up",TRUE,0.00130025039088701,253,1291,39,0.0302091402013943,0.154150197628458,"GO:0060070","GO:BP","canonical Wnt signaling pathway",16178,14797,"GO:0016055"
"6876","up",TRUE,0.00136159271416842,345,1291,49,0.0379550735863672,0.142028985507246,"GO:0071407","GO:BP","cellular response to organic cyclic compound",16178,17159,"GO:0014070, GO:0071310"
"14861","up",TRUE,0.00137536719050059,35,644,11,0.0170807453416149,0.314285714285714,"WP:WP3617","WP","Photodynamic therapy induced NF kB survival signaling",8286,234,"WP:000000"
"6877","up",TRUE,0.00137941088456659,35,1291,11,0.00852052672347018,0.314285714285714,"GO:0043516","GO:BP","regulation of DNA damage response, signal transduction by p53 class mediator",16178,11102,"GO:0030330, GO:0080135, GO:1901796"
"6878","up",TRUE,0.00139768592501054,41,1291,12,0.00929512006196747,0.292682926829268,"GO:0140467","GO:BP","integrated stress response signaling",16178,20353,"GO:0033554"
"6879","up",TRUE,0.00145054436769359,346,1291,49,0.0379550735863672,0.141618497109827,"GO:0007507","GO:BP","heart development",16178,3027,"GO:0048513, GO:0072359"
"6880","up",TRUE,0.00147269807618396,228,1291,36,0.0278853601859024,0.157894736842105,"GO:0051607","GO:BP","defense response to virus",16178,14278,"GO:0009615, GO:0140546"
"13403","up",TRUE,0.00151644614082452,297,820,43,0.0524390243902439,0.144781144781145,"REAC:R-HSA-5688426","REAC","Deubiquitination",10842,713,"REAC:R-HSA-597592"
"6881","up",TRUE,0.00157849473111495,220,1291,35,0.0271107668474051,0.159090909090909,"GO:0060537","GO:BP","muscle tissue development",16178,15197,"GO:0009888"
"6883","up",TRUE,0.00158557904832853,82,1291,18,0.0139426800929512,0.219512195121951,"GO:0046632","GO:BP","alpha-beta T cell differentiation",16178,12675,"GO:0030217, GO:0046631"
